Player,Season,Season Type,Team,Games,Min,Pts,OReb,Dreb,Reb,Ast,Stl,Blk,TO,PF,FGM,FGA,FG%,3PTM,3PTA,3PT%,FTM,FTA,FT%
Jeff Green,2016-2017,REG,Magic,69,22.23,9.25,0.55,2.51,3.06,1.16,0.55,0.22,1.09,1.49,3.19,8.09,0.394,0.77,2.8,0.275,2.1,2.43,0.863
Corey Brewer,2016-2017,REG,"Rockets, Lakers",78,15.42,4.46,0.37,1.64,2.01,1.12,0.68,0.24,0.63,1.6,1.76,4.17,0.422,0.35,1.47,0.235,0.6,0.82,0.734
Brandan Wright,2016-2017,REG,Grizzlies,25,16.33,7.12,1,1.72,2.72,0.48,0.44,0.64,0.36,1.52,3.16,5.08,0.622,0,0.04,0,0.8,1.24,0.645
Joakim Noah,2016-2017,REG,Knicks,46,22.06,5.04,3.48,5.2,8.67,2.24,0.65,0.8,1.26,2.76,2.15,4.35,0.495,0,0.02,0,0.74,1.7,0.436
Spencer Hawes,2016-2017,REG,"Hornets, Bucks",51,14.98,6.12,0.76,2.78,3.55,1.53,0.31,0.59,0.9,1.43,2.45,5.16,0.475,0.45,1.49,0.303,0.76,0.92,0.83
Thaddeus Young,2016-2017,REG,Pacers,70,30.01,10.84,1.71,4.26,5.97,1.59,1.54,0.39,1.31,1.86,4.79,9.2,0.52,0.64,1.67,0.385,0.63,1.2,0.524
Rodney Stuckey,2016-2017,REG,Pacers,39,17.85,7.21,0.15,2,2.15,2.15,0.41,0,1.36,1.13,2.33,6.26,0.373,0.49,1.54,0.317,2.05,2.74,0.748
Nick Young,2016-2017,REG,Lakers,60,25.94,13.18,0.42,1.87,2.28,0.97,0.65,0.23,0.6,2.28,4.53,10.52,0.431,2.83,6.98,0.406,1.28,1.5,0.856
Marco Belinelli,2016-2017,REG,Hornets,74,24.02,10.54,0.19,2.22,2.41,2,0.59,0.12,0.95,1.22,3.57,8.31,0.429,1.38,3.81,0.362,2.03,2.27,0.893
Jason Smith,2016-2017,REG,Wizards,70,14.35,5.76,0.9,2.59,3.49,0.47,0.29,0.74,0.74,2.27,2.4,4.51,0.532,0.5,1,0.5,0.46,0.67,0.681
Jared Dudley,2016-2017,REG,Suns,62,21.38,6.79,0.48,3.03,3.52,1.89,0.68,0.26,1.15,2.45,2.47,5.45,0.453,1.19,3.19,0.374,0.66,1.02,0.651
Rudy Gay,2016-2017,REG,Kings,30,33.77,18.73,1.17,5.13,6.3,2.73,1.5,0.87,2.47,2.63,6.7,14.73,0.455,1.4,3.77,0.372,3.93,4.6,0.855
LaMarcus Aldridge,2016-2017,REG,Spurs,69,32.56,17.32,2.51,4.99,7.49,2.01,0.61,1.22,1.38,2.22,6.91,14.64,0.472,0.33,0.77,0.434,3.16,3.9,0.81
Randy Foye,2016-2017,REG,Nets,65,18.8,5.43,0.14,2.18,2.32,2,0.48,0.14,1.22,1.46,1.8,4.75,0.379,1.03,2.94,0.351,0.8,0.94,0.852
Jose Calderon,2016-2017,REG,"Lakers, Hawks",36,12.5,3.06,0.36,1.36,1.72,1.92,0.31,0.03,0.97,0.89,1.17,3.03,0.385,0.42,1.44,0.288,0.31,0.33,0.917
Alan Anderson,2016-2017,REG,Clippers,30,10.28,2.87,0.1,0.7,0.8,0.37,0.1,0,0.23,1.17,1,2.67,0.375,0.47,1.47,0.318,0.4,0.53,0.75
John Lucas III,2016-2017,REG,Timberwolves,5,2.14,0.4,0,0,0,0.2,0.4,0,0,0,0.2,0.8,0.25,0,0.2,0,0,0,0
Marcin Gortat,2016-2017,REG,Wizards,78,31.41,10.67,2.91,7.56,10.47,1.46,0.47,0.83,1.47,2.67,4.71,8.24,0.571,0,0.03,0,1.26,1.94,0.649
Ronnie Price,2016-2017,REG,Suns,11,8.61,0.82,0.27,0.64,0.91,1.09,0.91,0.09,0.18,1,0.18,1.55,0.118,0.18,1.18,0.154,0.27,0.36,0.75
Monta Ellis,2016-2017,REG,Pacers,70,27.12,8.79,0.26,2.56,2.81,3.21,0.99,0.37,1.81,2.01,3.44,7.7,0.447,0.59,1.83,0.32,1.31,1.77,0.742
Lou Williams,2016-2017,REG,"Lakers, Rockets",78,24.56,17.68,0.33,2.13,2.46,3,1.01,0.24,1.96,1.17,5.35,12.36,0.433,2.05,5.45,0.376,4.94,5.64,0.875
Amir Johnson,2016-2017,REG,Celtics,77,20.15,6.49,1.47,3.06,4.53,1.73,0.64,0.81,0.97,2.6,2.68,4.61,0.58,0.32,0.81,0.403,0.82,1.23,0.663
Ersan Ilyasova,2016-2017,REG,"Thunder, 76ers, Hawks",77,26.43,13.27,1.36,4.51,5.87,1.68,0.73,0.31,1.43,2.57,4.74,10.9,0.435,1.79,4.95,0.362,2,2.57,0.778
Brandon Bass,2016-2017,REG,Clippers,50,11.11,5.5,0.82,1.62,2.44,0.4,0.28,0.22,0.6,0.88,2.04,3.58,0.57,0.02,0.06,0.333,1.4,1.6,0.875
CJ Miles,2016-2017,REG,Pacers,72,23.48,10.83,0.36,2.63,2.99,0.65,0.58,0.36,0.51,2.06,3.72,8.54,0.436,2.24,5.38,0.416,1.15,1.28,0.902
Ian Mahinmi,2016-2017,REG,Wizards,28,17.71,5.43,1.54,3,4.54,0.61,1.07,0.64,1.14,2.86,2,3.5,0.571,0,0,0,1.43,2.46,0.58
David Lee,2016-2017,REG,Spurs,75,18.57,7.27,1.8,3.73,5.53,1.55,0.43,0.51,1.03,1.65,3.15,5.19,0.607,0,0,0,0.97,1.37,0.709
Gerald Green,2016-2017,REG,Celtics,45,11.39,5.42,0.36,1.4,1.76,0.69,0.2,0.16,0.56,1.02,1.98,4.84,0.408,0.82,2.29,0.359,0.64,0.82,0.784
Jarrett Jack,2016-2017,REG,Pelicans,2,16.54,3,0,0,0,2.5,1,0,1.5,2,1,1.5,0.667,0,0.5,0,1,1,1
Marvin Williams,2016-2017,REG,Hornets,73,30.52,11.4,1.16,5.37,6.53,1.44,0.75,0.71,0.74,1.77,4,9.38,0.426,1.66,4.7,0.353,1.74,2,0.87
Chris Paul,2016-2017,REG,Clippers,58,31.5,18.09,0.71,4.26,4.97,9.28,1.9,0.12,2.48,2.45,6.1,12.84,0.475,2.03,5.02,0.406,3.84,4.33,0.888
Raymond Felton,2016-2017,REG,Clippers,77,21.32,6.81,0.43,2.3,2.73,2.38,0.83,0.29,1.05,1.57,2.78,6.49,0.428,0.6,1.86,0.322,0.65,0.83,0.781
Channing Frye,2016-2017,REG,Cavaliers,70,18.68,8.89,0.51,3.33,3.84,0.64,0.43,0.47,0.73,1.87,3.13,6.99,0.448,1.84,4.51,0.408,0.79,0.94,0.833
Deron Williams,2016-2017,REG,"Mavericks, Cavaliers",60,26.03,10.82,0.23,2,2.23,5.75,0.5,0.12,2,2.13,4.05,9.33,0.434,1.27,3.62,0.35,1.45,1.73,0.837
Andrew Bogut,2016-2017,REG,"Mavericks, Cavaliers",27,21.6,2.93,2,6,8,1.81,0.48,0.93,1.59,3.19,1.41,3,0.469,0,0.04,0,0.11,0.41,0.273
Beno Udrih,2016-2017,REG,Pistons,37,14.07,5.73,0.14,1.32,1.46,3.3,0.32,0,0.92,0.7,2.3,4.95,0.464,0.27,0.84,0.323,0.86,0.92,0.941
Anderson Varejao,2016-2017,REG,Warriors,14,6.56,1.29,0.86,1.07,1.93,0.71,0.21,0.21,0.57,1.14,0.36,1,0.357,0,0,0,0.57,0.79,0.727
Trevor Ariza,2016-2017,REG,Rockets,77,34.59,11.79,0.66,5.09,5.75,2.13,1.86,0.25,0.94,1.66,4.1,9.87,0.416,2.43,6.88,0.353,1.16,1.56,0.742
Devin Harris,2016-2017,REG,Mavericks,61,16.91,6.48,0.18,1.8,1.98,2.03,0.67,0.1,0.87,1.62,1.98,5.08,0.39,0.85,2.59,0.329,1.66,2,0.828
Luol Deng,2016-2017,REG,Lakers,56,26.53,7.59,1.13,4.11,5.23,1.32,0.84,0.36,0.77,1.09,2.93,7.59,0.386,0.91,2.93,0.311,0.82,1.13,0.73
Andre Iguodala,2016-2017,REG,Warriors,74,26.4,7.5,0.68,3.34,4.01,3.45,1.04,0.49,0.76,1.28,2.84,5.39,0.526,0.85,2.32,0.366,0.97,1.35,0.72
Kris Humphries,2016-2017,REG,Hawks,53,11.8,4.43,1.02,2.53,3.55,0.47,0.21,0.36,0.51,1.23,1.49,3.62,0.411,0.3,0.87,0.348,1.15,1.43,0.803
Al Jefferson,2016-2017,REG,Pacers,66,14.1,8.11,1.14,3.08,4.21,0.86,0.26,0.26,0.5,1.89,3.56,7.11,0.501,0,0.02,0,0.98,1.29,0.765
J.R. Smith,2016-2017,REG,Cavaliers,37,28.53,8.95,0.38,2.3,2.68,1.32,1.03,0.3,0.62,1.84,3.14,8.7,0.36,2.41,6.59,0.365,0.27,0.41,0.667
Jameer Nelson,2016-2017,REG,Nuggets,75,27.27,9.16,0.36,2.16,2.52,5.13,0.71,0.11,1.72,2.63,3.57,8.05,0.444,1.41,3.64,0.388,0.6,0.84,0.714
Tony Allen,2016-2017,REG,Grizzlies,68,27.47,9.18,2.37,3.28,5.65,1.41,1.65,0.43,1.47,2.6,3.9,8.5,0.458,0.22,0.78,0.283,1.16,1.88,0.617
Sasha Vujacic,2016-2017,REG,Knicks,38,8.64,2.58,0.16,0.97,1.13,0.97,0.32,0.05,0.37,0.82,0.87,2.79,0.311,0.45,1.53,0.293,0.39,0.5,0.789
Udonis Haslem,2016-2017,REG,Heat,16,8.07,1.94,0.5,1.69,2.19,0.38,0.31,0.06,0.5,1.31,0.69,1.38,0.5,0,0.13,0,0.56,0.94,0.6
Dwight Howard,2016-2017,REG,Hawks,71,29.99,13.44,4.08,8.79,12.87,1.39,0.93,1.25,2.3,2.76,5.2,8.28,0.628,0,0.03,0,3.04,5.72,0.532
Shaun Livingston,2016-2017,REG,Warriors,73,17.59,5.08,0.37,1.62,1.99,1.73,0.47,0.29,0.81,1.62,2.25,4.07,0.552,0.01,0.03,0.5,0.58,0.82,0.7
Kyle Korver,2016-2017,REG,"Hawks, Cavaliers",63,26.34,10.11,0.13,2.62,2.75,1.68,0.52,0.32,1.06,1.62,3.59,7.67,0.468,2.41,5.32,0.454,0.52,0.59,0.892
James Jones,2016-2017,REG,Cavaliers,46,7.45,2.67,0.04,0.67,0.72,0.26,0.15,0.2,0.2,0.76,0.89,1.65,0.539,0.65,1.17,0.556,0.24,0.37,0.647
Zaza Pachulia,2016-2017,REG,Warriors,67,18.05,6.12,1.99,3.76,5.75,1.85,0.87,0.46,1.25,2.39,2.36,4.42,0.534,0,0,0,1.4,1.82,0.77
Nick Collison,2016-2017,REG,Thunder,18,6.18,1.28,0.39,1,1.39,0.56,0.11,0.11,0.17,0.83,0.5,0.89,0.562,0,0,0,0.28,0.44,0.625
David West,2016-2017,REG,Warriors,65,12.42,4.68,0.63,2.31,2.94,2.23,0.65,0.72,1.11,1.51,1.98,3.63,0.547,0.05,0.12,0.375,0.66,0.86,0.768
Boris Diaw,2016-2017,REG,Jazz,69,17.57,4.64,0.65,1.52,2.17,2.28,0.23,0.1,1.25,1.13,2.01,4.54,0.444,0.29,1.14,0.253,0.32,0.45,0.71
Leandro Barbosa,2016-2017,REG,Suns,67,14.38,6.25,0.25,1.33,1.58,1.21,0.46,0.12,0.72,1.22,2.57,5.87,0.438,0.52,1.46,0.357,0.6,0.67,0.889
Dwyane Wade,2016-2017,REG,Bulls,57,30.23,18.63,1.07,3.42,4.49,3.88,1.47,0.68,2.19,1.88,7.04,16.25,0.433,0.79,2.53,0.313,3.77,4.75,0.793
Carmelo Anthony,2016-2017,REG,Knicks,72,34.5,22.49,0.85,5.11,5.96,2.89,0.86,0.42,2.08,2.67,8.17,18.83,0.434,2.07,5.75,0.36,4.08,4.9,0.833
LeBron James,2016-2017,REG,Cavaliers,72,37.59,26.32,1.29,7.28,8.57,8.74,1.22,0.6,4.08,1.78,9.9,18.17,0.545,1.69,4.68,0.362,4.82,7.15,0.674
Luis Scola,2016-2017,REG,Nets,36,12.8,5.11,1.44,2.42,3.86,1.03,0.39,0.11,0.94,1.75,1.97,4.22,0.467,0.47,1.39,0.34,0.69,1.03,0.676
Matt Barnes,2016-2017,REG,"Kings, Warriors",73,24.23,7.18,0.95,4.23,5.18,2.64,0.64,0.36,1.45,2.53,2.52,6.48,0.389,1.18,3.59,0.328,0.96,1.22,0.786
Mike Dunleavy,2016-2017,REG,"Cavaliers, Hawks",48,15.95,4.9,0.33,1.92,2.25,0.98,0.27,0.08,0.56,1.25,1.69,4.02,0.42,0.96,2.48,0.387,0.56,0.73,0.771
Nene,2016-2017,REG,Rockets,65,17.97,9.11,1.4,2.78,4.18,0.97,0.82,0.62,1.09,2.48,3.65,5.89,0.619,0.05,0.14,0.334,1.77,2.97,0.596
Chris Andersen,2016-2017,REG,Cavaliers,12,9.48,2.33,0.75,1.83,2.58,0.42,0.42,0.58,0.42,1.67,0.75,1.83,0.409,0,0.25,0,0.83,1.17,0.714
Tony Parker,2016-2017,REG,Spurs,60,25.39,10.17,0.17,1.67,1.83,4.62,0.55,0.03,1.45,1.43,4.23,9.15,0.463,0.38,1.12,0.343,1.32,1.85,0.712
Zach Randolph,2016-2017,REG,Grizzlies,71,24.67,14.24,2.55,5.75,8.3,1.68,0.54,0.15,1.35,1.87,5.99,13.24,0.452,0.3,1.31,0.226,1.97,2.7,0.729
Richard Jefferson,2016-2017,REG,Cavaliers,75,20.44,5.83,0.35,2.17,2.52,0.96,0.32,0.12,0.65,1.95,2.01,4.44,0.453,0.81,2.39,0.341,0.99,1.35,0.733
Joe Johnson,2016-2017,REG,Jazz,74,23.54,8.82,0.43,2.72,3.15,1.82,0.45,0.22,0.89,1.23,3.38,7.86,0.43,1.26,3.22,0.391,0.81,0.97,0.833
Pau Gasol,2016-2017,REG,Spurs,61,25.55,12.41,1.67,6.11,7.79,2.44,0.38,1.13,1.33,1.7,4.77,9.39,0.508,0.87,1.61,0.541,2,2.87,0.697
Tyson Chandler,2016-2017,REG,Suns,47,27.61,8.45,3.3,8.15,11.45,0.64,0.72,0.53,1.43,2.68,3.26,4.85,0.671,0,0,0,1.94,2.64,0.734
Mike Miller,2016-2017,REG,Nuggets,17,5.36,1.18,0.12,1.24,1.35,0.71,0.06,0,0.53,0.41,0.35,0.88,0.4,0.35,0.76,0.461,0.12,0.12,1
Jamal Crawford,2016-2017,REG,Clippers,79,26.33,12.2,0.22,1.39,1.61,2.61,0.78,0.16,1.68,1.43,4.35,10.62,0.41,1.41,3.94,0.357,2.09,2.44,0.855
Manu Ginobili,2016-2017,REG,Spurs,66,18.74,7.55,0.44,1.85,2.29,2.7,1.21,0.23,1.33,1.76,2.5,6.44,0.388,1.27,3.32,0.384,1.27,1.59,0.8
Paul Pierce,2016-2017,REG,Clippers,22,11.86,3.23,0.05,2.05,2.09,0.41,0.18,0.23,0.68,1.68,1.09,2.82,0.387,0.59,1.68,0.351,0.45,0.55,0.833
Jason Terry,2016-2017,REG,Bucks,70,18.53,4,0.21,1.21,1.43,1.34,0.61,0.27,0.46,1.29,1.36,3.24,0.418,0.94,2.3,0.41,0.34,0.41,0.828
Metta World Peace,2016-2017,REG,Lakers,21,5,1.24,0.14,0.43,0.57,0.33,0.14,0.1,0.29,0.67,0.38,1.62,0.235,0.14,0.86,0.167,0.33,0.57,0.583
Dirk Nowitzki,2016-2017,REG,Mavericks,51,26.69,14.29,0.43,6.18,6.61,1.51,0.57,0.63,0.94,2.1,5.47,12.55,0.436,1.51,3.94,0.383,1.84,2.12,0.87
Vince Carter,2016-2017,REG,Grizzlies,70,24.66,8.04,0.51,2.61,3.13,1.8,0.84,0.49,0.67,2.29,2.66,6.81,0.39,1.5,4.06,0.37,1.23,1.61,0.761
