Player,Season,Season Type,Team,Games,Min,Pts,OReb,Dreb,Reb,Ast,Stl,Blk,TO,PF,FGM,FGA,FG%,3PTM,3PTA,3PT%,FTM,FTA,FT%
John Henson,2016-2017,REG,Bucks,56,19.64,6.82,1.63,3.55,5.18,1,0.54,1.43,0.95,2.64,2.75,5.39,0.51,0,0.02,0,1.32,1.91,0.692
Maurice Harkless,2016-2017,REG,Trail Blazers,74,28.86,10.08,1.66,2.85,4.51,1.18,1.05,0.92,1.15,2.77,4.07,8.2,0.496,0.92,2.62,0.351,1.03,1.61,0.639
Tyler Zeller,2016-2017,REG,Celtics,48,10.35,3.48,0.88,1.63,2.5,0.83,0.15,0.48,0.42,1.27,1.54,3.15,0.49,0,0.02,0,0.4,0.73,0.543
Terrence Jones,2016-2017,REG,"Pelicans, Bucks",54,23.53,10.81,1.22,4.44,5.67,1.07,0.69,1,0.91,1.24,4.28,9.06,0.472,0.35,1.39,0.253,1.91,3.15,0.606
Andrew Nicholson,2016-2017,REG,"Wizards, Nets",36,8.66,2.72,0.39,1.14,1.53,0.28,0.39,0.17,0.39,1.39,1.17,2.86,0.408,0.14,0.67,0.208,0.25,0.39,0.643
Evan Fournier,2016-2017,REG,Magic,66,32.46,16.94,0.68,2.41,3.09,2.94,1.02,0.05,2.08,2.65,5.94,13.56,0.438,1.83,5.24,0.35,3.23,4.03,0.801
Jared Sullinger,2016-2017,REG,Raptors,11,10.7,3.36,0.91,1.55,2.45,0.18,0.36,0.18,0.36,1.55,1.36,4.36,0.312,0.27,1.64,0.167,0.36,0.73,0.5
John Jenkins,2016-2017,REG,Suns,4,3.23,1.75,0,0.25,0.25,0.25,0,0,0,0,0.5,1.25,0.4,0.25,0.5,0.5,0.5,0.5,1
Miles Plumlee,2016-2017,REG,"Bucks, Hornets",42,10.16,2.6,0.71,1.21,1.93,0.48,0.38,0.29,0.67,1.55,1,2,0.5,0,0,0,0.6,0.93,0.641
Tomas Satoransky,2016-2017,REG,Wizards,54,12.28,2.57,0.44,0.98,1.43,1.54,0.44,0.11,0.61,1.06,1.02,2.43,0.42,0.15,0.59,0.25,0.39,0.57,0.677
Jae Crowder,2016-2017,REG,Celtics,68,32.34,13.72,0.69,5.06,5.75,2.1,0.97,0.31,1.1,2.26,4.53,9.99,0.454,2.15,5.5,0.39,2.51,3.04,0.826
Draymond Green,2016-2017,REG,Warriors,74,32.77,10.24,1.31,6.62,7.93,7.09,2.07,1.41,2.45,2.88,3.59,8.62,0.417,1.04,3.43,0.303,2.01,2.85,0.706
Quincy Acy,2016-2017,REG,"Mavericks, Nets",35,15.01,6.09,0.49,2.63,3.11,0.46,0.37,0.37,0.6,1.8,1.91,4.57,0.419,1,2.43,0.412,1.26,1.63,0.772
Khris Middleton,2016-2017,REG,Bucks,26,30.26,15.12,0.35,3.69,4.04,3.31,1.38,0.27,2.15,2.69,5.31,11.65,0.455,1.54,3.69,0.417,2.96,3.38,0.875
Will Barton,2016-2017,REG,Nuggets,60,28.42,13.67,0.98,3.37,4.35,3.43,0.75,0.5,1.62,1.83,4.92,11.12,0.442,1.45,3.92,0.37,2.38,3.17,0.753
Mike Scott,2016-2017,REG,Hawks,18,10.83,2.5,0.56,1.5,2.06,0.94,0.22,0.17,0.44,0.67,0.94,3.22,0.293,0.22,1.5,0.148,0.39,0.44,0.875
Justin Hamilton,2016-2017,REG,Nets,60,18.47,6.88,1.1,2.97,4.07,0.85,0.45,0.65,0.65,1.43,2.68,5.83,0.46,0.88,2.87,0.308,0.63,0.83,0.76
Kyle O'Quinn,2016-2017,REG,Knicks,75,15.48,6.24,2.03,3.6,5.63,1.49,0.47,1.33,0.99,2.19,2.72,5.2,0.523,0.01,0.2,0.067,0.79,1.01,0.776
Omri Casspi,2016-2017,REG,"Kings, Pelicans, Timberwolves",31,17.26,5.39,0.74,2.52,3.26,1.03,0.45,0.06,0.84,1.23,2.19,4.68,0.469,0.45,1.26,0.359,0.55,0.87,0.63
Darren Collison,2016-2017,REG,Kings,67,30.38,13.21,0.36,1.9,2.25,4.51,1.01,0.13,1.63,1.78,5,10.54,0.475,1.07,2.57,0.419,2.13,2.49,0.856
Jeff Teague,2016-2017,REG,Pacers,78,32.46,15.33,0.41,3.74,4.15,7.76,1.24,0.41,2.68,2.05,4.92,11.13,0.442,1.13,3.09,0.365,4.36,5.01,0.87
Ty Lawson,2016-2017,REG,Kings,67,24.97,9.54,0.64,1.87,2.51,4.66,1.07,0.09,1.87,1.72,3.34,7.46,0.448,0.49,1.75,0.282,2.36,3,0.786
Jrue Holiday,2016-2017,REG,Pelicans,63,33.15,15.68,0.65,3.22,3.87,7.32,1.57,0.67,2.9,2.03,6.13,13.49,0.454,1.57,4.25,0.369,1.86,2.63,0.705
James Johnson,2016-2017,REG,Heat,72,26.9,12.64,0.85,3.96,4.81,3.49,0.99,1.11,2.21,2.54,4.75,9.85,0.482,1.18,3.29,0.359,1.96,2.78,0.705
Gerald Henderson,2016-2017,REG,76ers,68,23.19,9.49,0.47,2.18,2.65,1.54,0.57,0.19,0.91,1.76,3.35,7.82,0.429,0.88,2.46,0.359,1.9,2.32,0.816
Brandon Jennings,2016-2017,REG,"Knicks, Wizards",77,22.22,7.36,0.35,2.06,2.42,4.87,0.81,0.06,1.62,1.42,2.44,6.62,0.369,1.01,3.14,0.322,1.47,1.95,0.753
Jordan Hill,2016-2017,REG,Timberwolves,7,6.65,1.71,1.14,0.86,2,0,0.14,0,0.57,1.29,0.71,1.86,0.385,0,0,0,0.29,0.29,1
DeMar DeRozan,2016-2017,REG,Raptors,72,35.46,27.04,0.96,4.31,5.26,4,1.01,0.17,2.4,1.82,9.67,20.81,0.465,0.46,1.71,0.268,7.25,8.63,0.841
Tyreke Evans,2016-2017,REG,"Pelicans, Kings",39,19.69,10.46,0.28,3.13,3.41,3.15,0.87,0.21,1.49,1.49,3.82,9.38,0.407,1.08,3,0.359,1.74,2.31,0.756
Ricky Rubio,2016-2017,REG,Timberwolves,71,32.74,10.92,0.94,3.14,4.08,9.04,1.72,0.13,2.59,2.7,3.39,8.35,0.406,0.8,2.61,0.308,3.32,3.76,0.884
Stephen Curry,2016-2017,REG,Warriors,77,33.51,25.34,0.78,3.7,4.48,6.64,1.82,0.23,3.01,2.35,8.57,18.31,0.468,4.06,9.96,0.408,4.13,4.58,0.901
James Harden,2016-2017,REG,Rockets,77,36.54,29.18,1.17,6.95,8.12,11.18,1.51,0.45,5.74,2.61,8.38,19,0.441,3.17,9.19,0.345,9.26,10.9,0.85
Omer Asik,2016-2017,REG,Pelicans,31,15.55,2.68,1.52,3.71,5.23,0.48,0.13,0.39,0.45,1.65,0.97,2.06,0.469,0,0,0,0.74,1.26,0.59
Luc Mbah a Moute,2016-2017,REG,Clippers,77,22.02,5.78,0.57,1.6,2.17,0.45,1,0.44,0.58,1.53,2.27,4.61,0.493,0.52,1.36,0.381,0.71,1.01,0.705
Goran Dragic,2016-2017,REG,Heat,69,33.47,20.35,0.84,3,3.84,5.87,1.23,0.17,2.86,2.75,7.33,15.36,0.477,1.67,4.07,0.409,4.01,5.07,0.791
Anthony Morrow,2016-2017,REG,"Thunder, Bulls",45,15.02,5.8,0.24,0.4,0.64,0.44,0.51,0.04,0.16,0.93,2.09,5.29,0.395,0.87,2.8,0.31,0.76,0.82,0.919
Bobby Brown,2016-2017,REG,Rockets,22,2.96,1.41,0,0.23,0.23,0.14,0,0,0.14,0.14,0.55,1.64,0.333,0.32,0.91,0.35,0,0,0
Blake Griffin,2016-2017,REG,Clippers,58,34.12,21.81,1.83,6.31,8.14,4.97,0.98,0.41,2.34,2.57,7.93,15.98,0.496,0.66,1.83,0.359,5.29,7.03,0.752
Darrell Arthur,2016-2017,REG,Nuggets,39,15.33,6.15,0.62,2.1,2.72,1.08,0.41,0.51,0.87,1.87,2.31,5.1,0.452,1.26,2.72,0.462,0.28,0.33,0.846
DeAndre Jordan,2016-2017,REG,Clippers,78,31.72,12.56,3.6,10.1,13.71,1.15,0.64,1.67,1.46,2.62,5,7.03,0.712,0,0.03,0,2.56,5.27,0.487
George Hill,2016-2017,REG,Jazz,47,31.99,16.94,0.47,3.02,3.49,4.11,0.98,0.23,1.81,2.36,5.91,12.53,0.472,1.87,4.79,0.391,3.23,4.04,0.8
Nicolas Batum,2016-2017,REG,Hornets,74,34.28,15.16,0.64,5.72,6.35,5.95,1.12,0.41,2.57,1.46,5.09,12.66,0.402,1.76,5.31,0.331,3.22,3.72,0.865
Marreese Speights,2016-2017,REG,Clippers,79,15.66,8.81,1.09,3.49,4.58,0.78,0.27,0.51,0.85,2.77,3.01,6.7,0.45,1.27,3.35,0.377,1.52,1.73,0.876
Roy Hibbert,2016-2017,REG,"Hornets, Bucks, Nuggets",46,14.75,4.8,1.17,2.15,3.33,0.48,0.17,1.02,0.67,2.15,1.74,3.2,0.544,0,0,0,1.33,1.63,0.813
JaVale McGee,2016-2017,REG,Warriors,74,9.32,5.86,1.24,1.8,3.04,0.22,0.26,0.86,0.51,1.38,2.57,4.01,0.64,0,0.04,0,0.73,1.42,0.514
Alexis Ajinca,2016-2017,REG,Pelicans,35,13.67,4.29,1.14,3.06,4.2,0.29,0.46,0.6,0.74,1.77,1.83,3.83,0.478,0,0.09,0,0.63,0.89,0.71
Ryan Anderson,2016-2017,REG,Rockets,68,29.83,13.53,1.63,3.06,4.69,0.93,0.46,0.19,0.81,2.03,4.46,10.78,0.413,2.76,6.96,0.397,1.85,2.16,0.857
Courtney Lee,2016-2017,REG,Knicks,73,32.17,10.77,0.67,2.73,3.4,2.33,1.01,0.3,0.9,1.88,4.12,9.08,0.454,1.4,3.45,0.405,1.12,1.27,0.882
Kosta Koufos,2016-2017,REG,Kings,71,19.99,6.62,1.66,4.04,5.7,0.65,0.48,0.68,0.86,2.42,3.04,5.52,0.551,0,0.01,0,0.54,0.87,0.613
Serge Ibaka,2016-2017,REG,"Magic, Raptors",77,30.71,14.94,1.65,5.16,6.81,0.96,0.53,1.6,1.35,2.7,6,12.52,0.479,1.56,4.01,0.388,1.38,1.6,0.862
Brandon Rush,2016-2017,REG,Timberwolves,42,21.17,4.29,0.38,1.81,2.19,0.98,0.45,0.5,0.55,0.88,1.52,4.1,0.372,0.95,2.4,0.396,0.29,0.38,0.75
Robin Lopez,2016-2017,REG,Bulls,77,28.05,10.22,3.04,3.3,6.34,1,0.22,1.45,1.06,1.86,4.68,9.52,0.491,0,0.03,0,0.87,1.22,0.713
Jerryd Bayless,2016-2017,REG,76ers,3,23.83,11,1,3,4,4.33,0,0,3,1.33,3.67,10.67,0.344,0.67,1.67,0.4,3,3.33,0.9
D.J. Augustin,2016-2017,REG,Magic,75,19.77,8.08,0.19,1.32,1.51,2.72,0.4,0.01,1.13,1.29,2.56,6.65,0.385,1.25,3.52,0.356,1.71,2.09,0.815
Brook Lopez,2016-2017,REG,Nets,72,29.51,20.71,1.57,3.82,5.39,2.38,0.51,1.71,2.46,2.58,7.43,15.63,0.476,1.83,5.17,0.355,4.01,4.93,0.814
Derrick Rose,2016-2017,REG,Knicks,64,32.53,18.03,1.02,2.81,3.83,4.42,0.69,0.27,2.3,1.31,7.19,15.27,0.471,0.2,0.94,0.217,3.45,3.95,0.874
Russell Westbrook,2016-2017,REG,Thunder,78,34.74,31.79,1.68,9.03,10.71,10.45,1.72,0.37,5.42,2.33,10.24,24.01,0.427,2.46,7.1,0.347,8.85,10.51,0.841
Kevin Love,2016-2017,REG,Cavaliers,57,31.08,19.14,2.49,8.53,11.02,1.91,0.89,0.4,2.02,1.93,6.18,14.35,0.43,2.46,6.46,0.38,4.33,4.96,0.873
Danilo Gallinari,2016-2017,REG,Nuggets,61,33.83,18,0.64,4.39,5.03,2.15,0.67,0.25,1.26,1.48,5.23,11.79,0.444,1.97,5.08,0.387,5.57,6.18,0.902
Eric Gordon,2016-2017,REG,Rockets,72,31.13,16.33,0.39,2.25,2.64,2.57,0.67,0.5,1.64,2,5.53,13.54,0.408,3.31,8.81,0.375,1.97,2.36,0.835
Anthony Tolliver,2016-2017,REG,Kings,62,22.83,7.11,0.81,2.79,3.6,1.13,0.52,0.29,0.85,1.69,2.44,5.47,0.445,1.42,3.53,0.402,0.82,1.11,0.739
Michael Beasley,2016-2017,REG,Bucks,53,16.63,9.57,0.72,2.79,3.51,0.96,0.47,0.49,1.21,1.66,3.91,7.15,0.546,0.3,0.72,0.421,1.45,1.96,0.74
Joel Anthony,2016-2017,REG,Spurs,17,5.28,1.06,0.41,0.88,1.29,0.12,0.12,0.24,0.18,0.59,0.47,0.82,0.571,0,0,0,0.12,0.12,1
CJ Watson,2016-2017,REG,Magic,61,16.38,4.59,0.23,1.18,1.41,1.84,0.7,0.03,0.77,1.36,1.57,3.98,0.395,0.52,1.7,0.308,0.92,1.05,0.875
Ramon Sessions,2016-2017,REG,Hornets,50,16.21,6.24,0.22,1.26,1.48,2.58,0.48,0.06,0.92,0.86,2,5.26,0.38,0.42,1.24,0.339,1.82,2.36,0.771
Tiago Splitter,2016-2017,REG,76ers,4,7.38,4.75,1.25,0.75,2,0.75,0,0.25,0.5,0.75,1.5,2.75,0.545,0.25,0.5,0.5,1.5,1.75,0.857
Josh McRoberts,2016-2017,REG,Heat,22,17.33,4.86,1.09,2.32,3.41,2.27,0.45,0.18,1.05,1.41,2,5.32,0.376,0.59,1.41,0.419,0.27,0.41,0.667
Marc Gasol,2016-2017,REG,Grizzlies,71,34.48,19.77,0.85,5.37,6.21,4.61,0.92,1.31,2.23,2.32,7.3,15.85,0.46,1.41,3.66,0.385,3.77,4.54,0.832
Wilson Chandler,2016-2017,REG,Nuggets,68,31.04,15.94,1.53,4.9,6.43,2.04,0.75,0.46,1.65,2.44,6.19,13.47,0.46,1.51,4.56,0.332,2.04,2.79,0.732
Aaron Brooks,2016-2017,REG,Pacers,61,13.59,4.98,0.3,0.79,1.08,1.93,0.41,0.15,1.02,1.44,1.89,4.74,0.398,0.72,2,0.361,0.49,0.62,0.789
Arron Afflalo,2016-2017,REG,Kings,59,25.87,8.39,0.17,1.9,2.07,1.2,0.39,0.1,0.68,1.73,2.98,6.88,0.434,1.05,2.54,0.413,1.37,1.54,0.89
JJ Redick,2016-2017,REG,Clippers,75,28.21,15.13,0.16,2.01,2.17,1.37,0.71,0.13,1.28,1.65,5.09,11.44,0.445,2.59,6,0.431,2.36,2.65,0.889
Thabo Sefolosha,2016-2017,REG,Hawks,60,25.94,7.33,0.83,3.57,4.4,1.77,1.52,0.52,0.93,1.62,2.87,6.43,0.446,0.68,1.95,0.35,0.92,1.25,0.733
Rajon Rondo,2016-2017,REG,Bulls,68,26.81,7.76,1.03,4.16,5.19,6.68,1.46,0.16,2.46,2.07,3.31,8.12,0.408,0.71,1.93,0.366,0.44,0.74,0.6
Kyle Lowry,2016-2017,REG,Raptors,57,37.77,22.84,0.82,3.96,4.79,6.95,1.44,0.33,2.79,2.89,7.23,15.51,0.466,3.28,7.84,0.418,5.11,6.16,0.829
Jordan Farmar,2016-2017,REG,Kings,2,17.69,6,0.5,1,1.5,4.5,1,0,1.5,0.5,2,6,0.333,2,4.5,0.444,0,0,0
Sergio Rodriguez,2016-2017,REG,76ers,68,22.32,7.79,0.31,2.06,2.37,5.07,0.71,0.06,1.88,1.4,3.09,7.88,0.392,1.35,3.71,0.365,0.26,0.4,0.667
Steve Novak,2016-2017,REG,Bucks,8,2.74,0.63,0,0.38,0.38,0,0,0,0,0.13,0.25,0.88,0.286,0.13,0.75,0.167,0,0,0
PJ Tucker,2016-2017,REG,"Suns, Raptors",78,27.89,6.82,1.47,4.33,5.81,1.24,1.46,0.23,0.83,2.41,2.53,6.05,0.417,0.87,2.44,0.358,0.9,1.17,0.769
Paul Millsap,2016-2017,REG,Hawks,66,34.17,18,1.61,6.08,7.68,3.71,1.32,0.92,2.26,2.68,6.24,14.18,0.44,1.11,3.55,0.312,4.41,5.79,0.762
Jose Juan Barea,2016-2017,REG,Mavericks,33,22.21,10.91,0.27,2.06,2.33,5.33,0.36,0.03,1.79,0.88,4.09,9.79,0.418,1.45,4.09,0.356,1.27,1.48,0.857
Kevin Durant,2016-2017,REG,Warriors,59,33.55,25.32,0.64,7.58,8.22,4.81,1.1,1.64,2.25,1.9,8.95,16.66,0.537,1.9,5.02,0.378,5.53,6.31,0.876
Al Horford,2016-2017,REG,Celtics,64,32.47,14.08,1.44,5.42,6.86,5.02,0.78,1.33,1.75,2.02,5.59,11.73,0.477,1.3,3.58,0.362,1.59,1.98,0.803
Mike Conley,2016-2017,REG,Grizzlies,66,33.6,20.52,0.47,3.14,3.61,6.38,1.35,0.29,2.29,1.86,6.7,14.77,0.453,2.44,6.08,0.401,4.68,5.44,0.861
